StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID41_1,QID41_2,QID41_3,QID41_4,QID41_5,QID41_6,QID41_7,QID41_8,QID41_9,QID41_10,QID41_11,QID45_1,QID45_2,QID45_3,QID45_4,QID45_5,QID45_6,QID45_7,QID45_8,QID45_9,QID45_10,QID45_11,QID42_1,QID42_2,QID42_3,QID42_4,QID42_5,QID42_6,QID42_7,QID42_8,QID42_9,QID42_10,QID42_11,QID44_1,QID44_2,QID44_3,QID44_4,QID44_5,QID44_6,QID44_7,QID44_8,QID44_9,QID44_10,QID44_11,condition,vis,userID,un
3/25/18 12:32,3/25/18 12:34,IP Address,24.47.220.34,100,112,TRUE,3/25/18 12:34,R_8bOP7TfUFtZNf0Z,,,,,40.94869995,-74.24130249,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,int,measles,cc961b6a-d6d4-4a63-b39b-aa14d4c2eab7,46
3/25/18 12:33,3/25/18 12:35,IP Address,104.184.250.146,100,68,TRUE,3/25/18 12:35,R_tFfdZszW9rXsIFj,,,,,25.9828949,-80.27940369,anonymous,EN,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,int,us-healthcare,cbce245c-6fff-4a36-8107-b12513744766,83
3/25/18 12:34,3/25/18 12:35,IP Address,113.173.23.171,100,63,TRUE,3/25/18 12:35,R_2Xcz1rduC52CsuP,,,,,10.81419373,106.6437988,anonymous,EN,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,us-healthcare,620cb826-2c7c-4b50-afd5-582dcb9c7ed4,40
3/25/18 12:33,3/25/18 12:35,IP Address,67.149.146.6,100,83,TRUE,3/25/18 12:35,R_SIeNJnONCF3Isdr,,,,,42.55870056,-83.00920105,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,story,gun-deaths,da808868-bd75-46fe-aece-98bb7d503357,78
3/25/18 12:33,3/25/18 12:35,IP Address,76.208.87.96,100,100,TRUE,3/25/18 12:35,R_oXnEfkklHqyhoyJ,,,,,28.39889526,-81.33699799,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,story,gun-deaths,e9b11bda-c9d7-4a71-87b6-78c2372ca71e,21
3/25/18 12:34,3/25/18 12:35,IP Address,24.23.145.140,100,37,TRUE,3/25/18 12:35,R_2BsXXVfnhdoZX1M,,,,,37.9875946,-122.1531982,anonymous,EN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,us-healthcare,6a212fdb-4005-42a3-bb2b-3747c01ba22d,59
3/25/18 12:34,3/25/18 12:35,IP Address,100.8.246.44,100,62,TRUE,3/25/18 12:35,R_87GCb6lZOHxMWCl,,,,,40.84829712,-73.97250366,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,none,gun-deaths,32ca00d3-ddc3-4af4-851f-e3bc6a0ecf27,23
3/25/18 12:35,3/25/18 12:35,IP Address,73.194.153.219,100,39,TRUE,3/25/18 12:35,R_1QzOMXwMS6naJkh,,,,,40.75160217,-74.12020111,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,int,gun-deaths,b1e61657-6741-4468-bfff-e07b1d6d0f4e,79
3/25/18 12:30,3/25/18 12:36,IP Address,172.97.7.163,100,351,TRUE,3/25/18 12:36,R_2c5gUkNKxOlix3A,,,,,34.06970215,-103.3305969,anonymous,EN,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,story,us-healthcare,c91da918-961b-477b-9937-d8a3a815a3ff,9
3/25/18 12:31,3/25/18 12:36,IP Address,73.61.142.248,100,320,TRUE,3/25/18 12:36,R_2cyB2oRsO0lSSGZ,,,,,41.83869934,-71.3187027,anonymous,EN,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,int,us-healthcare,f386c78e-1d4d-4e3e-b28d-49d37e7c601c,26
3/25/18 12:34,3/25/18 12:36,IP Address,24.147.114.216,100,134,TRUE,3/25/18 12:36,R_9KB0bq75ybWgx0t,,,,,41.7454071,-72.67030334,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,all,measles,6794cab4-9fad-4295-813a-50f90ea97069,28
3/25/18 12:30,3/25/18 12:36,IP Address,73.195.45.212,100,405,TRUE,3/25/18 12:36,R_28V70lpBzaH74wZ,,,,,39.8506012,-74.90989685,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,none,gun-deaths,a5b7e10c-eaca-4314-b758-a3f78937fe0f,7
3/25/18 12:33,3/25/18 12:36,IP Address,107.181.176.107,100,202,TRUE,3/25/18 12:36,R_2dFsc8sYMakIrTD,,,,,33.75160217,-84.39150238,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,int,gun-deaths,b9f12ccd-237a-442c-8d16-08bfc681f20c,38
3/25/18 12:33,3/25/18 12:36,IP Address,173.56.32.172,100,200,TRUE,3/25/18 12:36,R_pc8nwzVj6TQSnT3,,,,,40.72799683,-73.94529724,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,none,gun-deaths,d26db2df-183e-4e91-9cbc-9cabcae7871a,55
3/25/18 12:34,3/25/18 12:36,IP Address,196.146.106.110,100,138,TRUE,3/25/18 12:36,R_VVZmWi8uqcg2etP,,,,,30.07710266,31.28590393,anonymous,EN,,,,,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,int,carbon-clock,8cd55daf-31a7-4111-a22c-2dc6c8d7c4cf,50
3/25/18 12:35,3/25/18 12:37,IP Address,107.5.108.210,100,82,TRUE,3/25/18 12:37,R_2axbQJBenRrce6L,,,,,41.8618927,-84.60379791,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,all,measles,04a37525-2d1f-47ed-8234-ffcfda0c3bb5,69
3/25/18 12:32,3/25/18 12:37,IP Address,71.175.76.19,100,294,TRUE,3/25/18 12:37,R_1NhvWYt4WrEywxc,,,,,40.10299683,-74.9414978,anonymous,EN,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,story,us-healthcare,826574b0-0266-4ff6-87d8-2eaf3cb8bd56,57
3/25/18 12:37,3/25/18 12:38,IP Address,71.47.125.30,100,69,TRUE,3/25/18 12:38,R_3j9hbiJOwp1uwmk,,,,,28.46110535,-81.39389801,anonymous,EN,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,story,us-healthcare,7dd1e6c2-4707-43ac-bda1-ea39796a97bf,98
3/25/18 12:38,3/25/18 12:38,IP Address,124.123.22.32,100,33,TRUE,3/25/18 12:38,R_UXF0mtuYsVaERSV,,,,,17.37530518,78.47439575,anonymous,EN,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,int,us-healthcare,8ba57322-fa8e-4d37-b871-208881ced06c,42
3/25/18 12:37,3/25/18 12:39,IP Address,96.39.195.218,100,119,TRUE,3/25/18 12:39,R_1dgcjfDrtEfZhvN,,,,,46.21310425,-119.1681976,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,,,,int,gun-deaths,be977deb-bdbc-47d4-af5d-cf6b729bdc7c,95
3/25/18 12:37,3/25/18 12:39,IP Address,104.240.184.138,100,79,TRUE,3/25/18 12:39,R_2S3mPcz7BCD0FYQ,,,,,40.27090454,-80.78150177,anonymous,EN,,,,,,,,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,int,carbon-clock,f838ae3a-5e0a-40db-9ef2-4ef168365c7a,107
3/25/18 12:37,3/25/18 12:39,IP Address,74.250.171.96,100,106,TRUE,3/25/18 12:39,R_1Iozfe4P2CkRUeU,,,,,35.39019775,-82.37249756,anonymous,EN,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,int,us-healthcare,f5b73cca-b266-4c46-b60c-6360ff3b9076,58
3/25/18 12:36,3/25/18 12:39,IP Address,71.126.246.100,100,175,TRUE,3/25/18 12:39,R_2QupQ2oH7gNNFS5,,,,,42.5243988,-71.76570129,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,none,measles,e04a45f4-fdbb-40d6-8047-654986447a44,88
